,open,high,low,close,volume
2020-03-01,1.0002,1.0015,0.9992,1.0013,23031909.78
2020-03-02,1.0014,1.0016,0.999,0.9995,28299480.08
2020-03-03,0.9995,1.0004,0.9985,1.0,28361630.85
2020-03-04,0.9999,1.0003,0.9992,0.9995,21687740.18
2020-03-05,0.9994,0.9996,0.9982,0.9984,30890709.03
2020-03-06,0.9984,0.9993,0.9975,0.9977,32307943.41
2020-03-07,0.9977,0.9991,0.9971,0.999,24746863.88
2020-03-08,0.999,1.0003,0.9981,1.0001,52076142.77
2020-03-09,1.0002,1.001,0.9985,1.0005,59963988.83
2020-03-10,1.0005,1.0007,0.9991,1.0002,38576316.51
2020-03-11,1.0001,1.0003,0.9988,0.9989,36460720.68
2020-03-12,0.9989,1.0999,0.9962,0.9993,94324912.33
2020-03-13,0.9993,1.0037,0.9864,0.9911,75956442.2
2020-03-14,0.9911,1.0018,0.9898,1.0005,39319053.0
2020-03-15,1.0005,1.002,0.9973,1.0019,34600755.03
2020-03-16,1.0019,1.0044,0.9977,0.9982,44834857.94
2020-03-17,0.9982,0.9987,0.9942,0.9953,37059986.04
2020-03-18,0.9953,0.9985,0.9951,0.9965,35685884.11
2020-03-19,0.9965,0.9977,0.9936,0.9969,46084493.04
2020-03-20,0.9969,1.0008,0.9964,0.9998,62485318.72
2020-03-21,0.9998,1.0005,0.9974,0.9988,37669854.13
2020-03-22,0.9989,0.9995,0.9975,0.9995,37468875.84
2020-03-23,0.9995,0.9995,0.9951,0.996,34509213.96
2020-03-24,0.9961,0.9975,0.9953,0.9971,28169896.07
2020-03-25,0.9971,0.9985,0.9961,0.9979,25750672.45
2020-03-26,0.998,0.9986,0.9967,0.9969,22280651.36
2020-03-27,0.9969,0.9994,0.9961,0.999,26335767.86
2020-03-28,0.9989,0.9996,0.9969,0.9979,25331402.03
2020-03-29,0.998,0.9998,0.9978,0.9998,17489782.05
2020-03-30,0.9997,0.9999,0.997,0.9982,28123049.08
2020-03-31,0.9982,0.9989,0.9974,0.9975,25999574.13
2020-04-01,0.9976,0.9988,0.9968,0.997,23235491.66
2020-04-02,0.997,0.9995,0.9966,0.9994,33489382.4
2020-04-03,0.9995,0.9996,0.9981,0.9989,37360430.87
2020-04-04,0.9989,0.9992,0.9978,0.9982,24532872.27
2020-04-05,0.9982,0.9995,0.9981,0.9985,17228631.98
2020-04-06,0.9985,0.9989,0.9978,0.9987,35933741.79
2020-04-07,0.9986,0.9998,0.998,0.9997,33358569.97
2020-04-08,0.9997,0.9998,0.9986,0.9987,27850938.62
2020-04-09,0.9987,0.9994,0.9985,0.9988,23730625.96
2020-04-10,0.9987,0.9998,0.9983,0.9987,37699764.92
2020-04-11,0.9987,0.9988,0.9982,0.9987,18344009.53
2020-04-12,0.9987,0.9988,0.997,0.9988,21321595.8
2020-04-13,0.9988,0.9994,0.9975,0.9975,30434020.31
2020-04-14,0.9976,0.999,0.9975,0.999,21874423.37
2020-04-15,0.999,0.9998,0.9984,0.9997,27843559.37
2020-04-16,0.9996,0.9999,0.9978,0.9984,34785484.09
2020-04-17,0.9985,0.9992,0.9981,0.9991,20828907.68
2020-04-18,0.999,0.9991,0.9983,0.9985,18874139.09
2020-04-19,0.9984,0.999,0.9983,0.9985,19031889.7
2020-04-20,0.9985,0.9994,0.9983,0.9986,27413658.17
2020-04-21,0.9986,0.999,0.9982,0.9986,22304205.84
2020-04-22,0.9986,0.9989,0.9982,0.9987,22973920.15
2020-04-23,0.9987,0.9992,0.9979,0.9991,42503464.07
2020-04-24,0.9991,1.0,0.9985,0.9992,31546421.46
2020-04-25,0.9992,0.9997,0.9988,0.9991,21333866.66
2020-04-26,0.9991,0.9995,0.9987,0.9988,23276982.27
2020-04-27,0.9988,0.999,0.9983,0.9984,26551569.68
2020-04-28,0.9983,0.9993,0.9983,0.9986,24832495.7
2020-04-29,0.9986,0.9992,0.9977,0.9992,54749075.37
2020-04-30,0.9992,1.001,0.9984,0.9995,60656905.32
2020-05-01,0.9995,1.0001,0.9984,0.9997,41412216.91
2020-05-02,0.9997,0.9998,0.9987,0.9991,23717830.74
2020-05-03,0.9991,1.0,0.9988,0.9991,31743970.86
2020-05-04,0.9991,0.9996,0.9984,0.9987,37873295.17
2020-05-05,0.9987,0.9996,0.9986,0.9995,29658967.59
2020-05-06,0.9995,0.9996,0.9984,0.999,35135234.68
2020-05-07,0.999,0.9995,0.9984,0.9986,39086658.97
2020-05-08,0.9986,0.9992,0.9984,0.9991,39375158.54
2020-05-09,0.9991,1.0003,0.9991,1.0001,35445749.12
2020-05-10,1.0001,1.0022,0.9988,0.9996,66511173.08
2020-05-11,0.9996,0.9998,0.9987,0.9994,36412595.99
2020-05-12,0.9994,1.0,0.9992,0.9993,23856824.69
2020-05-13,0.9993,0.9998,0.9987,0.999,21923671.27
2020-05-14,0.9991,1.0001,0.9988,0.9997,35568479.69
2020-05-15,0.9996,1.0015,0.9996,1.0009,31362242.16
2020-05-16,1.001,1.001,1.0,1.0002,25745655.12
2020-05-17,1.0001,1.0006,0.9997,1.0003,29431416.59
2020-05-18,1.0003,1.0016,1.0,1.0007,43007732.72
2020-05-19,1.0007,1.0014,1.0,1.0001,47438802.06
2020-05-20,1.0,1.0014,1.0,1.0006,58007168.07
2020-05-21,1.0007,1.0021,1.0004,1.001,69235428.55
2020-05-22,1.0009,1.0021,0.9999,1.0001,34161480.65
2020-05-23,1.0001,1.0003,0.9996,1.0,22169632.3
2020-05-24,1.0,1.0007,0.9994,1.0007,29929635.63
2020-05-25,1.0007,1.0007,0.9999,1.0003,24937694.39
2020-05-26,1.0003,1.0007,1.0001,1.0003,25217147.28
2020-05-27,1.0003,1.0006,0.9997,1.0002,29641475.22
2020-05-28,1.0002,1.0004,0.9993,0.9996,35549511.85
2020-05-29,0.9997,1.0008,0.9996,1.0005,33619305.7
2020-05-30,1.0006,1.0007,0.9996,1.0,32576122.38
2020-05-31,1.0,1.0009,0.9997,1.0007,33145423.61
2020-06-01,1.0007,1.0009,0.9972,0.9989,40947047.92
2020-06-02,0.999,1.0017,0.9985,1.0001,80812153.01
2020-06-03,1.0001,1.0008,0.9997,1.0001,33143585.37
2020-06-04,1.0001,1.0007,0.9993,0.9997,35155993.47
2020-06-05,0.9998,1.0007,0.9997,1.0005,26840431.1
2020-06-06,1.0005,1.0012,1.0001,1.0002,21523714.79
2020-06-07,1.0002,1.0007,0.9991,0.9996,28080814.61
2020-06-08,0.9995,1.0001,0.9991,0.9996,21910168.42
2020-06-09,0.9996,1.0002,0.999,0.9994,26975058.79
2020-06-10,0.9994,1.0003,0.9994,0.9994,23708883.25
2020-06-11,0.9995,1.0033,0.9993,1.0013,48381282.6
2020-06-12,1.0013,1.0019,1.0003,1.0004,18649952.99
2020-06-13,1.0004,1.0008,0.9999,1.0,19144663.93
2020-06-14,1.0,1.0009,0.9999,1.0009,16202717.82
2020-06-15,1.0009,1.0024,0.9995,0.9997,43944573.05
2020-06-16,0.9997,1.0007,0.9993,1.0001,24363205.48
2020-06-17,1.0001,1.0017,1.0,1.0012,26382574.05
2020-06-18,1.0012,1.0015,1.0007,1.0012,26517894.24
2020-06-19,1.0013,1.0018,1.0007,1.0017,33220497.72
2020-06-20,1.0016,1.0017,1.0004,1.0006,28118538.71
2020-06-21,1.0006,1.0017,1.0003,1.0015,21374677.5
2020-06-22,1.0015,1.0016,0.9997,1.0001,28007737.45
2020-06-23,1.0,1.0008,0.9999,1.0004,27700241.52
2020-06-24,1.0004,1.0023,1.0002,1.0015,34183085.73
2020-06-25,1.0014,1.0025,1.0005,1.0008,26770218.04
2020-06-26,1.0008,1.0023,1.0006,1.001,30926827.05
2020-06-27,1.001,1.0016,1.0008,1.0012,24687971.0
2020-06-28,1.0011,1.0013,1.0004,1.0005,16431918.15
2020-06-29,1.0005,1.0016,1.0003,1.0006,24111732.41
2020-06-30,1.0005,1.0009,1.0002,1.0005,18627904.93
2020-07-01,1.0004,1.0006,0.9997,0.9998,26164499.6
2020-07-02,0.9998,1.0008,0.9997,1.0,26564423.08
2020-07-03,0.9999,1.0004,0.9998,1.0,19478452.23
2020-07-04,1.0,1.0003,0.9997,0.9999,15824496.72
2020-07-05,0.9999,1.0002,0.9997,0.9999,17975886.47
2020-07-06,0.9998,1.0003,0.9997,1.0,31186338.7
2020-07-07,1.0,1.0005,0.9999,1.0002,27207265.18
2020-07-08,1.0002,1.0005,0.9995,0.9996,39763682.66
2020-07-09,0.9996,1.0005,0.9995,1.0001,35476695.49
2020-07-10,1.0001,1.001,1.0001,1.0002,33354546.24
2020-07-11,1.0002,1.0004,1.0,1.0002,18535301.17
2020-07-12,1.0003,1.0003,0.9997,1.0,26105043.76
2020-07-13,1.0,1.0009,0.9999,1.0007,36533396.26
2020-07-14,1.0007,1.001,1.0,1.0002,32412198.03
2020-07-15,1.0002,1.0014,1.0001,1.001,30615046.98
2020-07-16,1.001,1.0018,1.0005,1.0007,34149648.15
2020-07-17,1.0006,1.0014,1.0001,1.0003,26605076.7
2020-07-18,1.0003,1.0005,0.9996,0.9997,25105396.31
2020-07-19,0.9998,1.0002,0.9995,0.9997,25889002.04
2020-07-20,0.9997,1.0003,0.9996,0.9998,32404645.73
2020-07-21,0.9997,1.0003,0.9991,0.9993,42272210.2
2020-07-22,0.9993,1.0,0.9976,0.9985,42081331.26
2020-07-23,0.9986,0.9997,0.9977,0.9989,53747239.27
2020-07-24,0.999,0.9995,0.9984,0.9988,48562933.04
2020-07-25,0.9987,0.9993,0.9983,0.9989,43590008.87
2020-07-26,0.9989,0.9998,0.9949,0.9992,64828450.89
2020-07-27,0.9992,0.9995,0.9974,0.9981,111946663.09
2020-07-28,0.9981,0.9998,0.998,0.9983,84734940.58
2020-07-29,0.9982,0.9998,0.9982,0.9992,59910221.78
